month,latitude,longitude,depth,mag,id,place
6,40,140,25,5.7,iscgem876812,"off the east coast of Honshu, Japan"
6,10,40,20,5.6,iscgem876820,Gulf of Aden
6,40,-130,15,5.9,iscgem876846,off the coast of Oregon
6,0,100,20,5.7,iscgem876854,"northern Sumatra, Indonesia"
6,20,140,15,5.8,iscgem876863,Mariana Islands region
6,50,180,25,5.8,iscgem876871,"Near Islands, Aleutian Islands, Alaska"
6,30,100,15,6.1,iscgem876873,"Yunnan, China"
6,-10,170,15,6,iscgem876883,Vanuatu
7,-20,170,35,6.6,iscgem17290555,Vanuatu
7,-10,-10,15,5.6,iscgem876922,Ascension Island region
7,-20,170,35,5.8,iscgemsup876934,Vanuatu
7,-10,150,48,6.5,iscgem876929,"New Britain region, Papua New Guinea"
7,-20,170,35,5.9,iscgemsup876949,Vanuatu
7,-20,170,35,6.2,iscgem876945,"Loyalty Islands, New Caledonia"
7,-20,170,35,5.8,iscgem876950,Vanuatu
7,-20,170,35,6.1,iscgem876936,"Loyalty Islands, New Caledonia"
7,10,90,50,6,iscgem17290572,"Nicobar Islands, India region"
7,20,120,25,5.9,iscgem876974,Taiwan region
7,10,120,25,5.9,iscgem876979,"Mindoro, Philippines"
