month,latitude,longitude,depth,mag,mag_avg
8,60,-150,30,5.6,1
8,50,80,30,6.3,1
8,40,20,20,5.4,1
8,40,20,20,6.2,1
8,-30,-110,20,6.4,1
8,40,20,20,5.7,1
8,-30,-180,30,6.4,1
8,40,-120,30,5.9,1
8,-20,-170,10,5.9,1
8,30,140,20,6,1
8,0,140,40,5.8,1
8,40,140,30,5.7,1
8,30,140,20,5.9,1
8,40,-110,20,5.9,1
8,-20,-170,30,5.8,1
8,50,-180,40,6.2,1
9,50,-180,40,5.8,1
9,50,-180,40,6,1
9,40,50,20,7,1
9,40,50,20,5.4,1
9,-20,-180,630,6.5,1
9,40,30,30,5.6,1
9,40,70,40,6.3,1
9,50,160,30,6.2,1
9,10,-80,30,6.8,1
9,30,100,30,6.1,1
9,40,150,30,6,1
9,-30,-60,570,6.4,1
10,30,60,20,5.8,1
10,-20,170,40,6,1
10,-20,170,40,6,1
10,-20,170,60,6.3,1
10,20,120,40,6.5,1
10,0,150,30,6.1,1
10,-20,-170,20,5.6,1
10,-10,170,30,5.7,1
10,40,50,20,5.5,1
10,30,130,30,5.9,1
10,-40,170,20,5.7,1
10,50,-180,40,5.7,1
10,50,160,60,5.8,1
10,-60,160,20,6.1,1
10,10,-80,20,5.9,1
11,0,130,70,5.9,1
11,0,130,60,6,1
11,-10,120,30,5.9,1
11,-40,-80,20,6.1,1
11,30,60,20,5.7,1
11,-10,-110,20,5.8,1
11,40,150,50,5.8,1
11,20,40,20,5.6,1
11,-10,170,50,6.1,1
11,60,110,20,5.6,1
11,-40,-80,20,6.1,1
11,30,130,20,5.9,1
11,40,140,30,5.8,1
11,-10,-80,40,6.1,1
11,-30,-110,20,6.3,1
11,10,90,30,6.2,1
11,-20,-80,20,5.9,1
11,40,80,30,5.8,1
11,-20,-180,20,5.6,1
11,10,140,20,5.9,1
11,-20,170,40,6.2,1
11,20,-100,50,5.8,1
12,50,-170,40,5.7,1
12,-20,-170,20,6,1
12,30,140,430,6.6,1
12,-30,-60,590,7.2,1
12,-20,-170,40,6.2,1
12,50,-180,20,5.8,1
12,40,110,20,5.7,1
12,50,-170,20,6.4,1
12,50,-170,30,6.5,1
12,-10,110,60,6.2,1
12,0,-80,20,5.8,1
12,50,-170,30,5.7,1
12,50,-170,30,6.5,1
12,-20,170,30,6.4,1
12,-10,110,40,6.1,1
12,20,70,20,5.9,1
12,50,170,20,6.7,1
12,50,170,30,6,1
12,40,140,50,5.7,1
12,-30,-180,20,6,1
12,-20,-70,50,6.2,1
1,60,-160,70,6.4,1
1,0,140,30,6,1
1,-10,150,50,5.7,1
1,30,130,40,6,1
1,-10,150,60,5.8,1
1,-10,120,40,6,1
1,50,160,20,5.6,1
1,0,130,40,6,1
1,-50,-80,20,6,1
1,-30,-10,20,5.8,1
1,10,130,50,6,1
1,40,50,50,5.7,1
1,60,-160,40,6.6,1
1,0,150,40,6.5,1
1,-60,-30,30,6.8,1
1,30,130,50,6.7,1
2,-40,-70,30,6.4,1
2,0,150,30,5.9,1
2,-40,-70,30,6,1
2,60,170,20,5.6,1
2,-10,160,20,6.4,1
2,20,120,30,7.2,1
2,-10,150,60,6.1,1
2,-10,130,220,6.6,1
2,0,-30,20,5.9,1
2,30,20,30,5.6,1
2,90,100,20,5.6,1
2,20,120,20,5.7,1
2,-10,150,190,7.5,1
2,-10,150,40,6.7,1
3,40,140,30,5.9,1
3,50,150,30,5.6,1
3,30,120,20,6.3,1
3,-10,-80,20,6.1,1
3,-10,-80,20,5.8,1
3,-40,-80,20,6.2,1
3,-30,-110,10,6.5,1
3,30,120,20,6.1,1
3,-30,-70,50,5.6,1
3,40,30,30,5.8,1
3,20,120,30,5.9,1
3,50,160,20,7.2,1
3,0,140,40,5.9,1
3,40,140,50,5.5,1
3,50,-180,60,5.6,1
3,-10,120,20,6.3,1
3,30,50,20,6,1
3,10,130,40,5.8,1
3,-60,150,20,5.8,1
3,0,100,20,5.7,1
3,-30,-180,10,7.3,1
3,-30,-180,20,6.5,1
3,40,140,20,6.3,1
3,70,-20,10,6.9,1
3,-30,-180,40,5.8,1
3,-30,-180,20,5.3,0
3,40,150,60,6.1,1
